;Frame;Time;HeadPosition_x;HeadPosition_y;HeadPosition_z;HeadRotation_x;HeadRotation_y;HeadRotation_z;HandDetected;HighConfidence;HandPosition_x;HandPosition_y;HandPosition_z;HandRotation_x;HandRotation_y;HandRotation_z;HandVelocity_x;HandVelocity_y;HandVelocity_z;WristTwist;IsPinchGrabbing;IsPalmGrabbing;IsAutogripGrabbing;StrengthThumbIndex;StrengthThumbMiddle;StrengthThumbRing;StrengthThumbPinky;StrengthPalmIndex;StrengthPalmMiddle;StrengthPalmRing;StrengthPalmPinky;GrabIdentifier;MovedCorrectly;NumRepeticion
43;63140.0;5.959995;-0.0598;0.629;-0.0499;20.2565;5.1955;3.6411;True;True;0.0907;0.4162;0.2417;10.5595;72.8166;350.2658;-0.3904;0.3363;-0.1408;-175.1237;True;True;False;1.0;1.0;1.0;1.0;0.4915;0.4938;0.5443;0.5257;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
44;63150.0;6.099995;-0.057;0.6283;-0.0501;20.7137;5.1624;2.6869;True;True;0.005;0.4733;0.2488;18.8235;49.8094;313.1438;-0.5939;-0.0559;0.257;-149.56;True;True;False;1.0;1.0;1.0;1.0;0.5458;0.5972;0.635;0.6304;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
45;63155.0;6.159995;-0.0575;0.6279;-0.0501;20.7332;4.2773;2.5195;True;True;-0.0661;0.435;0.2411;21.9309;40.1029;293.8069;-1.3941;-0.7377;-0.3406;-132.4431;True;True;False;1.0;1.0;1.0;1.0;0.5038;0.5313;0.5672;0.5678;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
46;63160.0;6.239995;-0.0584;0.6278;-0.0501;20.9929;3.2239;2.1877;True;True;-0.1194;0.3483;0.246;18.3966;36.5019;291.1595;0.1189;-0.6004;0.03;-117.51;True;True;False;1.0;1.0;1.0;1.0;0.5154;0.5181;0.5214;0.4894;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
47;63165.0;6.299995;-0.0613;0.6281;-0.0473;20.8774;2.7829;2.0351;True;True;-0.1044;0.3652;0.2944;15.2423;36.9968;344.7871;-0.7908;0.5044;1.6311;-143.5561;True;True;False;0.8119;0.7115;0.7082;0.0;0.3189;0.3877;0.4673;0.4508;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
48;63170.0;6.379995;-0.064;0.6271;-0.0481;21.138;2.887;2.1939;True;True;-0.0504;0.3809;0.2683;23.2706;43.0032;4.5233;0.9334;-0.573;0.3537;160.6591;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
49;63175.0;6.439995;-0.0634;0.6282;-0.0511;20.9026;2.6447;2.5243;True;True;-0.0428;0.4068;0.2605;26.661;46.2585;355.2103;-0.1752;0.8996;-0.6202;-170.4977;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3976a1f3-47df-44dc-a6ad-68eb25758c3b;True;4
50;63180.0;6.519995;-0.0619;0.6301;-0.0516;20.1067;3.0175;2.922;True;True;-0.0394;0.4046;0.2608;25.0726;50.3399;4.2295;-0.0189;-0.0351;0.0047;173.4965;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
51;63185.0;6.579995;-0.0594;0.6293;-0.0509;20.0123;3.5589;3.3056;True;True;-0.0412;0.4013;0.2596;21.249;51.9097;7.4153;0.0933;0.003;-0.0942;170.9519;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
52;63195.0;6.719995;-0.055;0.6281;-0.0488;20.8268;6.1678;2.7361;True;True;-0.0302;0.4096;0.2445;26.5706;50.0577;11.8546;0.3511;0.8821;-0.5106;170.2003;True;True;False;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
53;63205.0;6.859994;-0.0587;0.6293;-0.051;20.2806;7.0186;3.7608;True;True;0.1038;0.4106;0.1883;14.0128;64.5519;341.9529;0.8834;0.0127;-0.3438;-164.5096;True;True;False;0.0045;0.0;0.0;0.0;0.0289;0.0163;0.0482;0.1102;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
54;63215.0;6.999994;-0.0593;0.6312;-0.0529;19.5019;7.0689;4.7113;True;True;0.1484;0.3983;0.1687;359.1936;85.4654;5.8921;-0.052;-0.0749;0.0852;166.8379;True;True;False;0.1222;0.0;0.0;0.0;0.1512;0.1195;0.1434;0.1673;3976a1f3-47df-44dc-a6ad-68eb25758c3b;False;4
55;63225.0;7.139994;-0.0537;0.6292;-0.0496;20.3457;7.1198;3.6599;True;True;0.134;0.4182;0.1975;9.4155;70.4475;350.2036;-0.329;0.2656;0.139;-177.0571;True;True;False;1.0;1.0;1.0;1.0;0.5355;0.5756;0.6133;0.5843;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
56;63235.0;7.279994;-0.0511;0.6275;-0.0491;20.96;6.8789;2.6297;True;True;0.013;0.4635;0.215;20.017;45.3619;295.5143;-0.6088;-0.2586;0.0827;-142.7262;True;True;False;1.0;1.0;1.0;1.0;0.5422;0.5948;0.6276;0.6264;b82b3401-43c8-4a54-9cb5-f2afc331f2ec;False;5
